alpha,beta,relative_drift_%,std_dev_%,wall_time_s,status
0.0,0.0,3.9494590544,1.7074480448,2.5,ok
0.0,0.05,3.9396768637,0.5775014339,2.6,ok
0.0,0.1,3.9372548804,0.4385180336,2.7,ok
0.0,0.15,3.9375124793,0.3772119041,2.6,ok
0.0,0.2,3.9374266705,0.3450643512,2.6,ok
0.0,0.25,3.9376140807,0.3217002406,2.6,ok
0.0,0.3,3.9375538158,0.3002669363,2.7,ok
0.0,0.35,3.9374268808,0.2860595939,2.5,ok
0.0,0.4,3.9372880530,0.2786002254,2.6,ok
0.0,0.45,3.9375382143,0.2719321719,2.5,ok
0.0,0.5,3.9381511076,0.2648255103,2.5,ok
0.1,0.0,3.9430566109,0.8172704544,2.7,ok
0.1,0.05,3.9403565105,0.4676053827,2.5,ok
0.1,0.1,3.9397374891,0.3846920346,2.4,ok
0.1,0.15,3.9389938232,0.3408531393,2.5,ok
0.1,0.2,3.9381561742,0.3195916135,2.6,ok
0.1,0.25,3.9380421273,0.2961991865,2.6,ok
0.1,0.3,3.9379547707,0.2820639769,2.6,ok
0.1,0.35,3.9379196675,0.2745434222,2.5,ok
0.1,0.4,3.9380325676,0.2682277670,2.5,ok
0.1,0.45,3.9383765814,0.2618518409,2.5,ok
0.1,0.5,3.9384449709,0.2552998264,2.6,ok
0.2,0.0,3.9457762683,0.5620277726,2.7,ok
0.2,0.05,3.9425186447,0.3945927338,2.5,ok
0.2,0.1,3.9411971035,0.3380498707,2.5,ok
0.2,0.15,3.9401745407,0.3175376084,2.6,ok
0.2,0.2,3.9394965737,0.2949118522,2.5,ok
0.2,0.25,3.9389285700,0.2785681866,2.6,ok
0.2,0.3,3.9386721449,0.2715739407,2.5,ok
0.2,0.35,3.9384053941,0.2639839934,2.5,ok
0.2,0.4,3.9382566653,0.2587013557,2.5,ok
0.2,0.45,3.9381132704,0.2521864595,2.6,ok
0.2,0.5,3.9379684029,0.2465871797,2.6,ok
0.3,0.0,3.9482321722,0.4398232090,2.7,ok
0.3,0.05,3.9445269636,0.3506667438,2.5,ok
0.3,0.1,3.9430042101,0.3148769452,2.6,ok
0.3,0.15,3.9415427962,0.2938070167,2.6,ok
0.3,0.2,3.9406990547,0.2744889998,2.5,ok
0.3,0.25,3.9400413035,0.2682298784,2.5,ok
0.3,0.3,3.9393648642,0.2620602639,2.5,ok
0.3,0.35,3.9387114538,0.2558568701,2.5,ok
0.3,0.4,3.9385338943,0.2492781549,2.6,ok
0.3,0.45,3.9385077966,0.2428884256,2.5,ok
0.3,0.5,3.9384975678,0.2387359074,2.5,ok
0.4,0.0,3.9503779722,0.3713399137,2.6,ok
0.4,0.05,3.9467833427,0.3136364318,2.6,ok
0.4,0.1,3.9443842756,0.2939096549,2.6,ok
0.4,0.15,3.9429365918,0.2742186865,2.6,ok
0.4,0.2,3.9419240455,0.2637325467,2.5,ok
0.4,0.25,3.9411878695,0.2587114455,2.6,ok
