alpha,beta,relative_drift_%,wall_time_s,status
0.0,0.0,0.0007988180,4.4,ok
0.0,0.01,0.0032619704,4.6,ok
0.0,0.02,0.0041021007,4.3,ok
0.0,0.03,0.0024259044,4.6,ok
0.0,0.04,0.0033651805,4.3,ok
0.0,0.05,0.0028435407,4.4,ok
0.0,0.06,0.0015985968,4.3,ok
0.0,0.07,0.0022440827,4.4,ok
0.0,0.08,0.0018813384,4.4,ok
0.0,0.09,0.0018497778,4.2,ok
0.0,0.1,0.0016501704,4.4,ok
0.0,0.11,0.0016191577,4.4,ok
0.0,0.12,0.0023676326,4.3,ok
0.0,0.13,0.0007360267,4.3,ok
0.0,0.14,0.0012321195,4.3,ok
0.0,0.15,0.0013081059,4.4,ok
0.0,0.16,0.0019373865,4.4,ok
0.0,0.17,0.0008452331,4.3,ok
0.0,0.18,0.0006681495,4.4,ok
0.0,0.19,0.0008382204,4.3,ok
0.0,0.2,0.0016454669,4.3,ok
0.0,0.21,0.0013913328,4.3,ok
0.0,0.22,0.0009324280,4.3,ok
0.0,0.23,0.0006664715,4.3,ok
0.0,0.24,0.0006592622,4.3,ok
0.0,0.25,0.0005178209,4.3,ok
0.0,0.26,0.0008016250,4.4,ok
0.0,0.27,0.0004525639,4.3,ok
0.0,0.28,0.0008376612,4.3,ok
0.0,0.29,0.0009840217,4.4,ok
0.0,0.3,0.0015337764,4.4,ok
0.0,0.31,0.0012747011,4.4,ok
0.0,0.32,0.0006375825,4.3,ok
0.0,0.33,0.0010473409,4.4,ok
0.0,0.34,0.0009761184,4.6,ok
0.0,0.35,0.0004429308,4.5,ok
0.0,0.36,0.0009022960,4.4,ok
0.0,0.37,0.0006132510,4.4,ok
0.0,0.38,0.0004234780,4.3,ok
0.0,0.39,0.0002614955,4.3,ok
0.0,0.4,0.0003076830,4.3,ok
0.0,0.41,0.0007193293,4.7,ok
0.0,0.42,0.0005624129,4.4,ok
0.0,0.43,0.0003473137,4.7,ok
0.0,0.44,0.0006193624,4.3,ok
0.0,0.45,0.0002963511,4.3,ok
0.0,0.46,0.0002833203,4.3,ok
0.0,0.47,0.0004395333,4.3,ok
0.0,0.48,0.0006076783,4.7,ok
0.0,0.49,0.0003658550,4.4,ok
0.0,0.5,0.0002997796,4.7,ok
0.05,0.0,0.0005150033,4.3,ok
0.05,0.01,0.0007599127,4.6,ok
0.05,0.02,0.0010599078,4.4,ok
0.05,0.03,0.0008717085,4.3,ok
0.05,0.04,0.0009355974,4.3,ok
0.05,0.05,0.0007394242,4.3,ok
0.05,0.06,0.0005044070,4.5,ok
0.05,0.07,0.0005665355,4.4,ok
0.05,0.08,0.0004753006,4.6,ok
0.05,0.09,0.0004860521,4.5,ok
