alpha,beta,relative_drift_%,wall_time_s,status
0.0,0.0,0.0130032804,9.6,ok
0.0,0.01,0.0467488622,9.0,ok
0.0,0.02,0.0266045756,9.6,ok
0.0,0.03,0.0454173916,10.6,ok
0.0,0.04,0.0175839135,9.6,ok
0.0,0.05,0.1114135411,8.1,ok
0.0,0.06,0.0666359967,9.6,ok
0.0,0.07,0.0379451429,9.6,ok
0.0,0.08,0.0836158672,9.2,ok
0.0,0.09,0.0693405664,9.1,ok
0.0,0.1,0.1961134719,8.7,ok
0.0,0.11,0.0503596208,9.7,ok
0.0,0.12,0.0574227885,9.6,ok
0.0,0.13,0.0160007940,9.6,ok
0.0,0.14,0.0723703764,9.5,ok
0.0,0.15,0.1177586156,9.1,ok
0.0,0.16,0.0742851978,7.6,ok
0.0,0.17,0.0190955914,10.0,ok
0.0,0.18,0.2164956164,9.3,ok
0.0,0.19,0.0964795862,8.5,ok
0.0,0.2,0.1744539830,9.2,ok
0.0,0.21,0.0652321858,10.0,ok
0.0,0.22,0.0487440115,8.1,ok
0.0,0.23,0.1196872857,9.3,ok
0.0,0.24,0.2866398420,8.5,ok
0.0,0.25,99.9999998939,48.4,ok
0.0,0.26,0.1760228774,8.9,ok
0.0,0.27,0.2287805296,9.1,ok
0.0,0.28,0.0556715097,8.6,ok
0.0,0.29,99.9999999749,32.4,ok
0.0,0.3,0.0327054889,9.6,ok
0.0,0.31,0.1244853896,9.3,ok
0.0,0.32,0.1983402223,8.0,ok
0.0,0.33,0.0183316007,9.7,ok
0.0,0.34,0.0931612360,8.2,ok
0.0,0.35,0.0858018714,9.3,ok
0.0,0.36,0.1721149874,8.8,ok
0.0,0.37,0.1823073679,7.9,ok
0.0,0.38,0.1682407190,8.6,ok
0.0,0.39,99.9999999354,56.7,ok
0.0,0.4,0.1018726788,8.1,ok
0.0,0.41,0.3294627361,8.8,ok
0.0,0.42,0.0870645916,8.2,ok
0.0,0.43,0.0401979058,9.5,ok
0.0,0.44,99.9999999455,28.7,ok
0.0,0.45,0.2273935731,8.0,ok
0.0,0.46,0.1901296124,6.7,ok
0.0,0.47,0.0385553011,8.5,ok
0.0,0.48,0.0693569377,7.8,ok
0.0,0.49,0.2120790374,8.3,ok
0.0,0.5,0.1380132157,8.6,ok
0.05,0.0,0.0136320623,9.5,ok
0.05,0.01,0.0193806992,9.7,ok
0.05,0.02,0.0278738323,8.9,ok
0.05,0.03,0.0263042420,9.7,ok
0.05,0.04,0.0360858564,8.7,ok
0.05,0.05,0.0209221891,9.4,ok
0.05,0.06,0.0846817923,9.0,ok
0.05,0.07,0.0304065213,9.4,ok
0.05,0.08,0.0677290344,9.7,ok
0.05,0.09,0.0260356069,9.7,ok
0.05,0.1,0.0789135233,8.9,ok
0.05,0.11,0.0331789810,10.0,ok
0.05,0.12,0.0788159862,7.7,ok
0.05,0.13,0.1452501053,7.0,ok
0.05,0.14,0.0614334451,8.9,ok
0.05,0.15,0.1484680647,8.5,ok
0.05,0.16,0.1367740731,9.5,ok
0.05,0.17,0.3421943313,8.3,ok
0.05,0.18,0.0370841052,9.4,ok
0.05,0.19,0.0394429987,9.7,ok
0.05,0.2,0.0376472570,10.0,ok
0.05,0.21,0.1186638775,8.0,ok
0.05,0.22,0.2008210899,9.3,ok
0.05,0.23,0.1165138330,8.4,ok
0.05,0.24,0.2496589453,8.3,ok
0.05,0.25,0.2027055120,8.4,ok
0.05,0.26,0.7310174035,8.4,ok
0.05,0.27,0.0521084935,8.4,ok
0.05,0.28,0.1146898270,8.6,ok
0.05,0.29,99.9999983017,70.1,ok
0.05,0.3,0.0454463423,10.0,ok
0.05,0.31,0.2268012081,9.3,ok
0.05,0.32,0.0762093331,7.7,ok
0.05,0.33,0.0743518704,8.0,ok
0.05,0.34,99.9999999835,39.1,ok
0.05,0.35,0.1846636695,9.5,ok
0.05,0.36,0.0394376849,8.6,ok
0.05,0.37,0.1860194710,8.6,ok
0.05,0.38,0.1552800424,9.7,ok
0.05,0.39,0.1128127100,8.4,ok
0.05,0.4,0.2257935930,7.8,ok
0.05,0.41,0.3643988458,8.8,ok
0.05,0.42,0.0934772535,9.1,ok
0.05,0.43,99.9999999907,35.7,ok
0.05,0.44,0.1358008719,8.7,ok
0.05,0.45,0.0981070879,8.2,ok
0.05,0.46,99.9999999164,60.2,ok
0.05,0.47,0.0878167894,9.4,ok
0.05,0.48,0.1398181987,8.3,ok
0.05,0.49,0.0365134023,7.9,ok
0.05,0.5,0.0843366659,8.5,ok
0.1,0.0,0.0163403109,9.7,ok
0.1,0.01,0.0161203731,9.6,ok
0.1,0.02,0.0197728939,9.6,ok
0.1,0.03,0.1947483080,8.6,ok
0.1,0.04,0.0459966169,9.3,ok
0.1,0.05,0.0163538900,9.6,ok
0.1,0.06,0.0194112990,10.0,ok
0.1,0.07,0.0261191347,9.6,ok
0.1,0.08,0.0282803725,9.7,ok
0.1,0.09,0.1583364393,9.0,ok
0.1,0.1,0.0459039682,8.0,ok
0.1,0.11,0.0626630906,9.4,ok
0.1,0.12,0.0507610044,9.5,ok
0.1,0.13,0.0368642076,9.5,ok
0.1,0.14,0.0584381854,9.0,ok
0.1,0.15,0.0856883983,9.2,ok
0.1,0.16,0.1385994817,8.9,ok
0.1,0.17,0.0249223335,9.0,ok
0.1,0.18,0.4357793385,9.0,ok
0.1,0.19,0.0879867779,8.3,ok
0.1,0.2,0.0312859484,9.7,ok
0.1,0.21,0.1093720504,9.1,ok
0.1,0.22,0.0558315848,10.0,ok
0.1,0.23,1.1477953852,6.9,ok
0.1,0.24,0.1493211514,8.9,ok
0.1,0.25,0.1143525896,8.9,ok
0.1,0.26,0.0573113557,9.0,ok
0.1,0.27,0.0692987724,7.8,ok
0.1,0.28,0.1892994430,8.7,ok
0.1,0.29,0.1137104674,8.9,ok
0.1,0.3,0.1686547807,7.7,ok
0.1,0.31,0.5802882121,7.8,ok
0.1,0.32,0.1917346753,8.1,ok
0.1,0.33,0.0952212296,7.8,ok
0.1,0.34,0.3974362145,8.9,ok
0.1,0.35,0.1346321547,7.8,ok
0.1,0.36,0.0664730639,7.9,ok
0.1,0.37,0.0403643950,9.6,ok
0.1,0.38,0.1964944744,8.9,ok
0.1,0.39,0.1135466209,7.8,ok
0.1,0.4,0.0481789716,9.7,ok
0.1,0.41,99.9999987534,55.3,ok
0.1,0.42,2.4077441128,6.6,ok
0.1,0.43,0.4603108202,5.8,ok
0.1,0.44,0.1101226951,9.2,ok
0.1,0.45,0.1254351899,8.8,ok
0.1,0.46,0.0332005270,8.0,ok
0.1,0.47,99.9999999980,64.7,ok
0.1,0.48,0.1787323746,8.3,ok
0.1,0.49,0.1185527480,8.5,ok
0.1,0.5,99.9999993481,74.9,ok
0.15,0.0,0.0094896047,9.6,ok
0.15,0.01,0.0883215256,7.6,ok
0.15,0.02,0.0163684260,9.3,ok
0.15,0.03,0.0292573632,9.2,ok
0.15,0.04,0.0195485947,9.6,ok
0.15,0.05,0.1940748705,8.7,ok
0.15,0.06,0.0252986883,9.5,ok
0.15,0.07,0.0665719079,8.8,ok
0.15,0.08,0.0948046016,8.4,ok
0.15,0.09,0.0286296495,9.1,ok
0.15,0.1,0.2555056685,8.9,ok
0.15,0.11,0.0716800755,7.5,ok
0.15,0.12,0.0244457462,8.8,ok
0.15,0.13,0.0583009532,9.4,ok
0.15,0.14,3.5157346899,9.3,ok
0.15,0.15,0.0434000680,8.4,ok
0.15,0.16,0.1674937620,7.7,ok
0.15,0.17,99.9999999975,21.9,ok
0.15,0.18,0.1999077969,8.1,ok
0.15,0.19,0.0356799551,9.7,ok
0.15,0.2,0.2692122040,9.4,ok
0.15,0.21,0.0886638986,8.6,ok
0.15,0.22,0.0956516862,8.8,ok
0.15,0.23,0.1401752414,8.9,ok
0.15,0.24,0.1207266699,8.7,ok
0.15,0.25,0.1045435833,8.3,ok
0.15,0.26,0.0613355132,8.2,ok
0.15,0.27,0.0831870884,7.4,ok
0.15,0.28,0.4085006030,8.3,ok
0.15,0.29,0.0771153768,7.9,ok
0.15,0.3,0.1803454159,9.3,ok
0.15,0.31,0.0609152057,8.8,ok
0.15,0.32,0.1387970954,8.7,ok
0.15,0.33,0.1888356583,8.0,ok
0.15,0.34,0.0989335682,8.8,ok
0.15,0.35,0.0563921585,8.9,ok
0.15,0.36,0.1952064794,8.4,ok
0.15,0.37,0.0589767567,8.5,ok
0.15,0.38,0.1840159806,8.1,ok
0.15,0.39,0.2745333325,8.4,ok
0.15,0.4,0.0891452769,8.1,ok
0.15,0.41,0.1157711440,7.9,ok
0.15,0.42,1.1867453092,6.2,ok
0.15,0.43,0.0395167978,8.6,ok
0.15,0.44,0.0240674208,9.5,ok
0.15,0.45,0.3149288332,8.3,ok
0.15,0.46,99.9999999944,54.9,ok
0.15,0.47,0.0350904584,8.3,ok
0.15,0.48,0.0436344944,9.3,ok
0.15,0.49,0.2865910133,9.1,ok
0.15,0.5,0.0469518186,8.9,ok
0.2,0.0,0.0095885451,9.6,ok
0.2,0.01,0.0321762871,8.8,ok
0.2,0.02,0.0223632717,9.1,ok
0.2,0.03,0.0243066126,9.6,ok
0.2,0.04,0.0299823088,8.9,ok
0.2,0.05,0.0525537236,9.3,ok
0.2,0.06,0.0304343828,8.7,ok
0.2,0.07,99.9999999414,26.8,ok
0.2,0.08,0.0939878888,9.7,ok
0.2,0.09,0.0446653113,8.1,ok
0.2,0.1,0.0356873591,9.2,ok
0.2,0.11,99.9999995396,21.1,ok
0.2,0.12,0.0288516982,8.5,ok
0.2,0.13,2.4728390628,7.1,ok
0.2,0.14,0.0935224866,8.1,ok
0.2,0.15,0.7901224478,8.8,ok
0.2,0.16,0.2738177081,9.3,ok
0.2,0.17,0.1065296820,7.8,ok
0.2,0.18,0.0906991998,8.8,ok
0.2,0.19,0.0461925788,9.7,ok
0.2,0.2,0.1795047927,8.6,ok
0.2,0.21,0.1010585449,7.3,ok
0.2,0.22,0.0740138092,9.4,ok
0.2,0.23,0.3487013621,8.6,ok
0.2,0.24,0.0154354797,9.5,ok
0.2,0.25,99.9999999545,57.8,ok
0.2,0.26,99.9999996203,30.8,ok
0.2,0.27,0.0316196722,8.3,ok
0.2,0.28,0.1593891893,7.6,ok
0.2,0.29,99.9999999507,34.9,ok
0.2,0.3,0.7709782424,5.9,ok
0.2,0.31,0.0535703842,7.7,ok
0.2,0.32,0.1215477960,8.5,ok
0.2,0.33,0.2832697900,7.6,ok
0.2,0.34,99.9999991020,36.7,ok
0.2,0.35,0.0448447227,9.4,ok
0.2,0.36,0.1121728436,8.1,ok
0.2,0.37,0.0591660287,9.5,ok
0.2,0.38,0.1035094699,7.7,ok
0.2,0.39,0.2762758566,7.6,ok
0.2,0.4,0.1830010261,8.3,ok
0.2,0.41,0.1646419568,7.9,ok
0.2,0.42,0.5409645285,8.6,ok
0.2,0.43,99.9999998449,60.9,ok
0.2,0.44,0.1429651905,7.4,ok
0.2,0.45,0.4222569311,4.9,ok
0.2,0.46,0.1250249620,8.3,ok
0.2,0.47,0.1000504563,8.7,ok
0.2,0.48,0.0281263439,9.5,ok
0.2,0.49,0.1406691935,7.0,ok
0.2,0.5,99.9999996965,29.0,ok
0.25,0.0,0.0128644226,9.6,ok
0.25,0.01,99.9999998228,67.8,ok
0.25,0.02,0.0441170784,9.2,ok
0.25,0.03,0.0238166365,9.1,ok
0.25,0.04,0.0213057007,8.8,ok
0.25,0.05,0.0253431437,8.8,ok
0.25,0.06,0.1353977085,6.4,ok
0.25,0.07,0.0784800093,8.9,ok
0.25,0.08,0.0365387671,8.3,ok
0.25,0.09,0.0390433398,9.5,ok
0.25,0.1,0.0428070831,8.9,ok
0.25,0.11,0.0668634181,9.6,ok
0.25,0.12,0.0346559170,8.7,ok
0.25,0.13,0.0513968551,9.3,ok
0.25,0.14,0.0406629659,9.0,ok
0.25,0.15,99.9999999094,43.4,ok
0.25,0.16,0.0298269097,8.4,ok
0.25,0.17,0.1931396923,8.5,ok
0.25,0.18,0.1064220561,8.5,ok
0.25,0.19,0.0882230317,8.6,ok
0.25,0.2,99.9999999670,21.2,ok
0.25,0.21,0.0953033488,6.9,ok
0.25,0.22,0.2281282122,9.4,ok
0.25,0.23,0.0289903750,9.5,ok
0.25,0.24,0.5442702382,6.4,ok
0.25,0.25,0.0875904156,9.1,ok
0.25,0.26,0.1579542771,8.4,ok
0.25,0.27,0.0436748481,9.5,ok
0.25,0.28,0.1364152744,8.0,ok
0.25,0.29,99.9999999683,45.7,ok
0.25,0.3,0.0635005818,7.4,ok
0.25,0.31,99.9999999915,31.8,ok
0.25,0.32,0.1369747359,9.1,ok
0.25,0.33,0.1268141559,9.0,ok
0.25,0.34,0.0322960990,8.7,ok
0.25,0.35,99.9999993122,58.1,ok
0.25,0.36,0.0388320734,8.3,ok
0.25,0.37,99.9999998329,38.1,ok
0.25,0.38,99.9999980406,33.2,ok
0.25,0.39,0.0348830346,9.0,ok
0.25,0.4,0.2565805267,8.0,ok
0.25,0.41,0.1071468517,7.9,ok
0.25,0.42,99.9999998570,44.9,ok
0.25,0.43,0.1235987826,8.6,ok
0.25,0.44,0.2104933476,7.8,ok
0.25,0.45,99.9999488587,79.9,ok
0.25,0.46,0.1285035787,9.2,ok
0.25,0.47,0.0983061667,7.9,ok
0.25,0.48,0.1141511977,9.1,ok
0.25,0.49,0.2110341891,8.7,ok
0.25,0.5,0.6586819016,7.5,ok
0.3,0.0,0.0257393734,9.0,ok
