alpha,beta,relative_drift_%,std_dev_%,wall_time_s,status
0.0,0.0,0.0007988180,0.0001358051,0.0,resume_from_csv
0.0,0.05,0.0028435407,0.0010333988,0.0,resume_from_csv
0.0,0.1,0.0016501704,0.0007267023,0.0,resume_from_csv
0.0,0.15,0.0013081059,0.0002796118,0.0,resume_from_csv
0.0,0.2,0.0016454669,0.0004969376,0.0,resume_from_csv
0.0,0.25,0.0005178209,0.0002084964,0.0,resume_from_csv
0.0,0.3,0.0015337764,0.0005336225,0.0,resume_from_csv
0.0,0.35,0.0004429308,0.0001921205,0.0,resume_from_csv
0.0,0.4,0.0003076830,0.0001277001,0.0,resume_from_csv
0.0,0.45,0.0002963511,0.0001241199,0.0,resume_from_csv
0.0,0.5,0.0002997796,0.0001228664,0.0,resume_from_csv
0.0,0.55,0.0003628408,0.0001566161,0.0,resume_from_csv
0.0,0.6,0.0002096108,0.0001002564,0.0,resume_from_csv
0.0,0.65,0.0001474921,0.0000486262,0.0,resume_from_csv
0.0,0.7,0.0001154435,0.0000513022,0.0,resume_from_csv
0.0,0.75,0.0001514800,0.0000787017,0.0,resume_from_csv
0.0,0.8,0.0001650494,0.0000367796,0.0,resume_from_csv
0.0,0.85,0.0001259779,0.0000560308,0.0,resume_from_csv
0.0,0.9,0.0001415879,0.0000631621,0.0,resume_from_csv
0.0,0.95,0.0001326072,0.0000253939,0.0,resume_from_csv
0.0,1.0,0.0002419079,0.0000425232,0.0,resume_from_csv
0.0,1.05,0.0001575293,0.0000383995,0.0,resume_from_csv
0.0,1.1,0.0000652057,0.0000182538,0.0,resume_from_csv
0.0,1.15,0.0000554896,0.0000236263,0.0,resume_from_csv
0.0,1.2,0.0001073433,0.0000215755,0.0,resume_from_csv
0.0,1.25,0.0000401385,0.0000173675,0.0,resume_from_csv
0.0,1.3,0.0000326495,0.0000078573,0.0,resume_from_csv
0.0,1.35,0.0000370207,0.0000150677,0.0,resume_from_csv
0.0,1.4,0.0000339028,0.0000113535,0.0,resume_from_csv
0.0,1.45,0.0000440022,0.0000152004,0.0,resume_from_csv
0.0,1.5,0.0000279261,0.0000096593,0.0,resume_from_csv
0.0,1.55,0.0000245285,0.0000061950,0.0,resume_from_csv
0.0,1.6,0.0000193079,0.0000062674,0.0,resume_from_csv
0.0,1.65,0.0000291794,0.0000053914,0.0,resume_from_csv
0.0,1.7,0.0000147710,0.0000033969,0.0,resume_from_csv
0.0,1.75,0.0000137973,0.0000033169,0.0,resume_from_csv
0.0,1.8,0.0000278743,0.0000088061,0.0,resume_from_csv
0.0,1.85,0.0000251190,0.0000065565,0.0,resume_from_csv
0.0,1.9,0.0000170809,0.0000053632,0.0,resume_from_csv
0.0,1.95,0.0000163869,0.0000063044,0.0,resume_from_csv
0.0,2.0,0.0000202298,0.0000036839,0.0,resume_from_csv
0.05,0.0,0.0005150033,0.0001227633,0.0,resume_from_csv
0.05,0.05,0.0007394242,0.0001555276,0.0,resume_from_csv
0.05,0.1,0.0008572173,0.0001464634,0.0,resume_from_csv
0.05,0.15,0.0003974788,0.0000761256,0.0,resume_from_csv
0.05,0.2,0.0003039955,0.0000685086,0.0,resume_from_csv
0.05,0.25,0.0002051982,0.0000467839,0.0,resume_from_csv
0.05,0.3,0.0006402345,0.0000874958,0.0,resume_from_csv
0.05,0.35,0.0001297069,0.0000397629,0.0,resume_from_csv
0.05,0.4,0.0000957006,0.0000284486,0.0,resume_from_csv
0.05,0.45,0.0009037880,0.0000984993,0.0,resume_from_csv
0.05,0.5,0.0003294975,0.0000396063,0.0,resume_from_csv
0.05,0.55,0.0001285364,0.0000212146,0.0,resume_from_csv
0.05,0.6,0.0000675052,0.0000165518,0.0,resume_from_csv
0.05,0.65,0.0000630719,0.0000125070,0.0,resume_from_csv
0.05,0.7,0.0000588146,0.0000116377,0.0,resume_from_csv
0.05,0.75,0.0002502982,0.0000285870,0.0,resume_from_csv
0.05,0.8,0.0000404182,0.0000089034,0.0,resume_from_csv
0.05,0.85,0.0000379322,0.0000075982,0.0,resume_from_csv
0.05,0.9,0.0001967769,0.0000166638,0.0,resume_from_csv
0.05,0.95,0.0002681662,0.0000216955,0.0,resume_from_csv
0.05,1.0,0.0000677227,0.0000075300,0.0,resume_from_csv
0.05,1.05,0.0001680740,0.0000141679,0.0,resume_from_csv
0.05,1.1,0.0000283404,0.0000048946,0.0,resume_from_csv
0.05,1.15,0.0000615699,0.0000064932,0.0,resume_from_csv
0.05,1.2,0.0000755640,0.0000066723,0.0,resume_from_csv
0.05,1.25,0.0000184275,0.0000038905,0.0,resume_from_csv
0.05,1.3,0.0000202816,0.0000040906,0.0,resume_from_csv
0.05,1.35,0.0000848243,0.0000065274,0.0,resume_from_csv
0.05,1.4,0.0000205095,0.0000037839,0.0,resume_from_csv
0.05,1.45,0.0000201780,0.0000036714,0.0,resume_from_csv
0.05,1.5,0.0000154961,0.0000033002,0.0,resume_from_csv
0.05,1.55,0.0000134658,0.0000027331,0.0,resume_from_csv
0.05,1.6,0.0000326495,0.0000034134,0.0,resume_from_csv
0.05,1.65,0.0000256058,0.0000032439,0.0,resume_from_csv
0.05,1.7,0.0000210171,0.0000031947,0.0,resume_from_csv
0.05,1.75,0.0000274289,0.0000029751,0.0,resume_from_csv
0.05,1.8,0.0000190179,0.0000028288,0.0,resume_from_csv
0.05,1.85,0.0000166251,0.0000023721,0.0,resume_from_csv
0.05,1.9,0.0000177542,0.0000026699,0.0,resume_from_csv
0.05,1.95,0.0000240106,0.0000025873,0.0,resume_from_csv
0.05,2.0,0.0000137869,0.0000023125,0.0,resume_from_csv
0.1,0.0,0.0003745352,0.0000953051,0.0,resume_from_csv
0.1,0.05,0.0005425459,0.0001088772,0.0,resume_from_csv
0.1,0.1,0.0002709111,0.0000686468,0.0,resume_from_csv
0.1,0.15,0.0002527531,0.0000507668,0.0,resume_from_csv
0.1,0.2,0.0001434627,0.0000372391,0.0,resume_from_csv
0.1,0.25,0.0001736675,0.0000350723,0.0,resume_from_csv
0.1,0.3,0.0001068565,0.0000313054,0.0,resume_from_csv
0.1,0.35,0.0000956281,0.0000256266,0.0,resume_from_csv
0.1,0.4,0.0000940640,0.0000220305,0.0,resume_from_csv
0.1,0.45,0.0000848347,0.0000179573,0.0,resume_from_csv
0.1,0.5,0.0000772213,0.0000158419,0.0,resume_from_csv
0.1,0.55,0.0000671945,0.0000155077,0.0,resume_from_csv
0.1,0.6,0.0000602544,0.0000117500,0.0,resume_from_csv
0.1,0.65,0.0000870514,0.0000118151,0.0,resume_from_csv
0.1,0.7,0.0005357199,0.0000439134,0.0,resume_from_csv
0.1,0.75,0.0001174012,0.0000150417,0.0,resume_from_csv
0.1,0.8,0.0003019963,0.0000203413,0.0,resume_from_csv
0.1,0.85,0.0000693594,0.0000082818,0.0,resume_from_csv
0.1,0.9,0.0001379003,0.0000130108,0.0,resume_from_csv
0.1,0.95,0.0001360048,0.0000124074,0.0,resume_from_csv
0.1,1.0,0.0002321919,0.0000158968,0.0,resume_from_csv
0.1,1.05,0.0000301427,0.0000049336,0.0,resume_from_csv
0.1,1.1,0.0000212035,0.0000042341,0.0,resume_from_csv
0.1,1.15,0.0000538426,0.0000058693,0.0,resume_from_csv
0.1,1.2,0.0000338096,0.0000044381,0.0,resume_from_csv
0.1,1.25,0.0000513462,0.0000054836,0.0,resume_from_csv
0.1,1.3,0.0000161072,0.0000036036,0.0,resume_from_csv
0.1,1.35,0.0000168219,0.0000036408,0.0,resume_from_csv
