alpha,beta,relative_drift_%,std_dev_%,wall_time_s,status
0.0,0.0,0.0026453238,0.0005587950,5.7,ok
0.0,0.1,0.0064382393,0.0022672798,5.8,ok
0.0,0.2,0.0234788985,0.0070058569,5.1,ok
0.0,0.3,0.0268260971,0.0074623178,5.1,ok
0.0,0.4,0.0116301801,0.0058017264,5.7,ok
0.0,0.5,0.0083487675,0.0039017610,5.8,ok
0.0,0.6,0.0070669771,0.0030098769,5.7,ok
0.0,0.7,0.0388267878,0.0089569613,4.3,ok
0.0,0.8,0.0166574014,0.0081667907,5.7,ok
0.0,0.9,0.0159896198,0.0079299819,5.8,ok
0.0,1.0,0.0160770588,0.0074248319,5.7,ok
0.0,1.1,0.0085026481,0.0036574638,5.7,ok
0.0,1.2,0.0118572511,0.0058654206,5.6,ok
0.0,1.3,0.0085634007,0.0041689735,5.8,ok
0.0,1.4,0.0137599673,0.0053763588,5.7,ok
0.0,1.5,0.0040289606,0.0019005124,5.7,ok
0.0,1.6,0.0094430131,0.0040663413,5.7,ok
0.0,1.7,0.0093541123,0.0037944847,5.5,ok
0.0,1.8,0.0187312547,0.0066717392,5.4,ok
0.0,1.9,0.0082223527,0.0032508729,5.5,ok
0.0,2.0,0.0091040834,0.0040115145,5.7,ok
0.1,0.0,0.0033974915,0.0005085349,5.7,ok
0.1,0.1,0.0054898251,0.0010847441,5.6,ok
0.1,0.2,0.0043399587,0.0008745074,5.7,ok
0.1,0.3,0.0027523627,0.0005251689,5.7,ok
0.1,0.4,0.0031990490,0.0005816246,5.7,ok
0.1,0.5,0.0061183416,0.0007318126,5.7,ok
0.1,0.6,0.0078790389,0.0007429485,5.7,ok
0.1,0.7,0.0098037683,0.0011114666,5.7,ok
0.1,0.8,0.0100396051,0.0009300720,5.8,ok
0.1,0.9,0.0089677254,0.0010551072,5.8,ok
0.1,1.0,0.0076046539,0.0007569723,5.7,ok
0.1,1.1,0.0069863721,0.0006900593,5.8,ok
0.1,1.2,0.0059351539,0.0007417186,5.7,ok
0.1,1.3,0.0057389396,0.0005227336,5.7,ok
0.1,1.4,0.0056274741,0.0005089744,5.7,ok
0.1,1.5,0.0060799217,0.0005518125,5.6,ok
