alpha,beta,relative_drift_%,wall_time_s,status
0.0,0.0,0.0020411253,4.8,ok
0.0,0.01,0.0019792751,4.8,ok
0.0,0.02,0.0051570504,4.9,ok
0.0,0.03,0.0049321987,4.7,ok
0.0,0.04,0.0032353910,4.8,ok
0.0,0.05,0.0075639216,4.8,ok
0.0,0.06,0.0023623986,5.1,ok
0.0,0.07,0.0032802106,5.1,ok
0.0,0.08,0.0028546340,5.1,ok
0.0,0.09,0.0055005991,4.7,ok
0.0,0.1,0.0261347996,4.7,ok
0.0,0.11,0.0017952288,4.8,ok
0.0,0.12,0.0038004520,4.8,ok
0.0,0.13,0.0047658270,4.6,ok
0.0,0.14,0.0124312048,4.8,ok
0.0,0.15,0.0047051723,4.8,ok
0.0,0.16,0.0028969675,4.8,ok
0.0,0.17,0.0039011050,4.8,ok
0.0,0.18,0.0208054382,4.9,ok
0.0,0.19,0.0085904482,4.7,ok
0.0,0.2,0.0230345799,4.5,ok
0.0,0.21,0.0141265868,4.4,ok
0.0,0.22,0.0144986658,4.8,ok
0.0,0.23,0.0304504777,4.6,ok
0.0,0.24,0.0514355214,4.0,ok
0.0,0.25,0.0088030254,4.5,ok
0.0,0.26,0.0052219274,4.8,ok
0.0,0.27,0.0067847741,4.8,ok
0.0,0.28,0.0178801889,4.5,ok
0.0,0.29,0.0470189707,4.3,ok
0.0,0.3,0.0176440649,4.2,ok
0.0,0.31,0.0315360767,4.5,ok
0.0,0.32,0.0281551170,4.6,ok
0.0,0.33,0.0285006047,4.4,ok
0.0,0.34,0.0156267296,4.7,ok
0.0,0.35,0.0072726362,4.6,ok
0.0,0.36,0.0417166529,4.5,ok
0.0,0.37,0.0328863848,4.7,ok
0.0,0.38,0.0420149273,4.8,ok
0.0,0.39,0.0181930653,4.5,ok
0.0,0.4,0.0624383998,4.6,ok
0.0,0.41,0.0390194069,4.3,ok
0.0,0.42,0.0422018137,4.3,ok
0.0,0.43,0.0669132569,4.3,ok
0.0,0.44,0.0177431268,4.6,ok
0.0,0.45,0.0442515838,4.2,ok
0.0,0.46,0.0059206982,4.7,ok
