alpha,beta,relative_drift_%,wall_time_s,status
0.0,0.0,0.0020411253,5.8,ok
0.0,0.01,0.0019685814,5.8,ok
0.0,0.02,0.0019474919,5.8,ok
0.0,0.03,0.0019535482,5.7,ok
0.0,0.04,0.0019493941,5.7,ok
0.0,0.05,0.0023083326,5.8,ok
0.0,0.06,0.0019420627,5.8,ok
0.0,0.07,0.0024517454,5.8,ok
0.0,0.08,0.0019247470,5.8,ok
0.0,0.09,0.0019305771,5.9,ok
0.0,0.1,0.0021326426,5.8,ok
0.0,0.11,0.0019864742,5.8,ok
0.0,0.12,0.0019189271,5.8,ok
0.0,0.13,0.0028797428,5.8,ok
0.0,0.14,0.0021558407,5.8,ok
0.0,0.15,0.0021950013,5.8,ok
0.0,0.16,0.0019085829,5.7,ok
0.0,0.17,0.0020163148,5.9,ok
0.0,0.18,0.0018923673,5.7,ok
0.0,0.19,0.0019477293,5.7,ok
0.0,0.2,0.0018967683,5.7,ok
0.0,0.21,0.0030101769,6.1,ok
0.0,0.22,0.0018845526,5.8,ok
0.0,0.23,0.0018877505,6.1,ok
0.0,0.24,0.0020719138,6.1,ok
0.0,0.25,0.0021090091,5.8,ok
0.0,0.26,0.0018744552,6.1,ok
0.0,0.27,0.0036191220,5.8,ok
0.0,0.28,0.0018747328,6.0,ok
0.0,0.29,0.0022031010,5.8,ok
0.0,0.3,0.0018645120,5.7,ok
0.0,0.31,0.0018675145,5.8,ok
0.0,0.32,0.0018663526,5.8,ok
0.0,0.33,0.0023729766,5.8,ok
0.0,0.34,0.0020566755,5.8,ok
0.0,0.35,0.0018578798,5.8,ok
0.0,0.36,0.0018585482,5.7,ok
0.0,0.37,0.0018557102,5.8,ok
0.0,0.38,0.0018494584,5.8,ok
0.0,0.39,0.0027739203,5.7,ok
0.0,0.4,0.0018500240,5.7,ok
0.0,0.41,0.0019952312,6.1,ok
0.0,0.42,0.0018469803,5.8,ok
0.0,0.43,0.0018411913,5.8,ok
0.0,0.44,0.0034189756,5.8,ok
0.0,0.45,0.0018419316,5.8,ok
0.0,0.46,0.0018423635,5.7,ok
0.0,0.47,0.0021013384,5.8,ok
0.0,0.48,0.0021315905,5.8,ok
0.0,0.49,0.0018294383,5.8,ok
0.0,0.5,0.0018331709,5.7,ok
