alpha,beta,relative_drift_%,std_dev_%,wall_time_s,status
0.0,0.0,0.2326357317,0.1133011629,6.5,ok
0.0,0.05,0.2620043720,0.0603873380,4.4,ok
0.0,0.1,0.2291392829,0.0371545636,4.3,ok
0.0,0.15,0.2310962896,0.0330465228,4.4,ok
0.0,0.2,0.2314712689,0.0420222138,5.2,ok
0.0,0.25,0.2296249506,0.0300833303,4.3,ok
0.0,0.3,0.2332190540,0.0304401898,4.4,ok
0.0,0.35,0.2318918132,0.0260641742,4.3,ok
0.0,0.4,0.2309147355,0.0244594697,4.4,ok
0.0,0.45,0.2551877100,0.0297093349,4.3,ok
0.0,0.5,0.5889227989,0.0404466605,4.2,ok
0.1,0.0,0.2311759045,0.0111507964,10.3,ok
0.1,0.05,0.2310763466,0.0110706611,10.3,ok
0.1,0.1,0.2310053832,0.0108478613,10.5,ok
0.1,0.15,0.2312860227,0.0103452086,10.4,ok
0.1,0.2,0.2313068646,0.0095504450,10.2,ok
0.1,0.25,0.2313016463,0.0082422537,10.5,ok
0.1,0.3,0.2312831914,0.0084075251,10.5,ok
0.1,0.35,0.2527740596,0.0131463610,10.4,ok
0.1,0.4,0.5852259532,0.0361809051,4.1,ok
0.1,0.45,1.3409390970,0.0748360627,4.1,ok
0.1,0.5,3.7030151997,0.1536538644,4.8,ok
0.2,0.0,0.2312918234,0.0078347085,10.2,ok
