alpha,beta,relative_drift_%,std_dev_%,wall_time_s,status
0.0,0.81,0.0001624598,0.0000587281,0.0,resume_from_csv
0.0,0.82,0.0001297172,0.0000563994,0.0,resume_from_csv
0.0,0.83,0.0000563286,0.0000156421,0.0,resume_from_csv
0.0,0.84,0.0000965603,0.0000267330,0.0,resume_from_csv
0.0,0.85,0.0001259779,0.0000560308,0.0,resume_from_csv
0.0,0.86,0.0001513972,0.0000510480,0.0,resume_from_csv
0.0,0.87,0.0000809400,0.0000278685,0.0,resume_from_csv
0.0,0.88,0.0000545159,0.0000196594,0.0,resume_from_csv
0.0,0.89,0.0000655993,0.0000190558,0.0,resume_from_csv
0.0,0.9,0.0001415879,0.0000631621,0.0,resume_from_csv
0.0,0.91,0.0000734509,0.0000294218,0.0,resume_from_csv
0.0,0.92,0.0000911015,0.0000381830,0.0,resume_from_csv
0.0,0.93,0.0000680542,0.0000256607,0.0,resume_from_csv
0.0,0.94,0.0002957192,0.0000335446,0.0,resume_from_csv
0.0,0.95,0.0001326072,0.0000253939,0.0,resume_from_csv
0.0,0.96,0.0001161271,0.0000425738,0.0,resume_from_csv
0.0,0.97,0.0002302238,0.0000396146,0.0,resume_from_csv
0.0,0.98,0.0007627719,0.0000670305,0.0,resume_from_csv
0.0,0.99,0.0003177616,0.0000556865,0.0,resume_from_csv
0.0,1.0,0.0002419079,0.0000425232,0.0,resume_from_csv
0.05,0.0,0.0005150033,0.0001227633,0.0,resume_from_csv
0.05,0.01,0.0007599127,0.0001977052,0.0,resume_from_csv
0.05,0.02,0.0010599078,0.0002082400,0.0,resume_from_csv
0.05,0.03,0.0008717085,0.0001868804,0.0,resume_from_csv
0.05,0.04,0.0009355974,0.0002127908,0.0,resume_from_csv
0.05,0.05,0.0007394242,0.0001555276,0.0,resume_from_csv
0.05,0.06,0.0005044070,0.0001182635,0.0,resume_from_csv
0.05,0.07,0.0005665355,0.0001294062,0.0,resume_from_csv
0.05,0.08,0.0004753006,0.0001028800,0.0,resume_from_csv
0.05,0.09,0.0004860521,0.0001067741,0.0,resume_from_csv
0.05,0.1,0.0008572173,0.0001464634,0.0,resume_from_csv
0.05,0.11,0.0003157003,0.0000912164,0.0,resume_from_csv
0.05,0.12,0.0003548961,0.0000823618,0.0,resume_from_csv
0.05,0.13,0.0002618787,0.0000670425,0.0,resume_from_csv
0.05,0.14,0.0003792484,0.0000805141,0.0,resume_from_csv
0.05,0.15,0.0003974788,0.0000761256,0.0,resume_from_csv
0.05,0.16,0.0002462688,0.0000591850,0.0,resume_from_csv
0.05,0.17,0.0002788249,0.0000742567,0.0,resume_from_csv
0.05,0.18,0.0003306577,0.0000627454,0.0,resume_from_csv
0.05,0.19,0.0002540168,0.0000607314,0.0,resume_from_csv
