alpha,beta,relative_drift_%,wall_time_s,status
0.1,0.24,0.0014210497,4.7,ok
0.1,0.25,0.0012812509,4.7,ok
0.1,0.26,0.0007073274,4.7,ok
0.1,0.27,0.0079503737,4.5,ok
0.1,0.28,0.0056577699,4.3,ok
0.1,0.29,0.0083828738,4.5,ok
0.1,0.3,0.0085517327,4.9,ok
0.1,0.31,0.0032562590,4.6,ok
0.1,0.32,0.0105152920,4.4,ok
0.1,0.33,0.0045353055,4.6,ok
0.1,0.34,0.0044859781,4.6,ok
0.1,0.35,0.0031806101,5.0,ok
0.1,0.36,0.0211325013,4.6,ok
0.1,0.37,0.0112266275,4.1,ok
0.1,0.38,0.0112313648,3.9,ok
0.1,0.39,0.0141070070,3.9,ok
0.1,0.4,0.0133545273,3.9,ok
0.1,0.41,0.0121214231,3.9,ok
0.1,0.42,0.0110930036,3.9,ok
0.1,0.43,0.0106493181,3.9,ok
0.1,0.44,0.0087270358,4.3,ok
0.1,0.45,0.0183379477,4.3,ok
0.1,0.46,0.0188448306,3.9,ok
0.1,0.47,0.0179182288,4.2,ok
0.1,0.48,0.0112780865,3.9,ok
0.1,0.49,0.0114437179,3.7,ok
0.1,0.5,0.0124971212,3.7,ok
0.15,0.0,0.0007206043,4.7,ok
0.15,0.01,0.0007176607,4.7,ok
0.15,0.02,0.0007162512,4.7,ok
0.15,0.03,0.0007191636,4.6,ok
0.15,0.04,0.0009611581,4.6,ok
0.15,0.05,0.0009121125,4.6,ok
0.15,0.06,0.0007174845,4.7,ok
0.15,0.07,0.0007877882,4.6,ok
0.15,0.08,0.0007939656,4.7,ok
0.15,0.09,0.0008785310,4.6,ok
0.15,0.1,0.0012747002,4.6,ok
0.15,0.11,0.0012264008,4.6,ok
0.15,0.12,0.0011836362,4.7,ok
0.15,0.13,0.0007000098,4.7,ok
0.15,0.14,0.0006989734,4.7,ok
0.15,0.15,0.0006983411,5.0,ok
0.15,0.16,0.0006981027,4.7,ok
0.15,0.17,0.0009327280,4.7,ok
0.15,0.18,0.0010275130,4.6,ok
0.15,0.19,0.0009621844,4.7,ok
0.15,0.2,0.0008798267,4.6,ok
0.15,0.21,0.0008965657,4.6,ok
0.15,0.22,0.0011236973,4.6,ok
0.15,0.23,0.0018483026,4.7,ok
0.15,0.24,0.0010381991,4.6,ok
0.15,0.25,0.0008814540,5.0,ok
0.15,0.26,0.0007153808,4.7,ok
0.15,0.27,0.0031736554,4.7,ok
0.15,0.28,0.0056356724,4.4,ok
0.15,0.29,0.0139414747,4.5,ok
0.15,0.3,0.0058024464,4.5,ok
0.15,0.31,0.0026931934,4.5,ok
0.15,0.32,0.0107827962,4.5,ok
0.15,0.33,0.0081807469,4.6,ok
0.15,0.34,0.0040238718,4.6,ok
0.15,0.35,0.0030728385,4.7,ok
0.15,0.36,0.0190017490,4.3,ok
0.15,0.37,0.0121588889,4.1,ok
0.15,0.38,0.0100727641,4.0,ok
0.15,0.39,0.0135709084,3.9,ok
0.15,0.4,0.0132787021,3.9,ok
0.15,0.41,0.0121009446,3.9,ok
0.15,0.42,0.0112407219,3.9,ok
0.15,0.43,0.0106872536,3.8,ok
