alpha,beta,relative_drift_%,std_dev_%,wall_time_s,status
0.0,0.0,3.9494590544,1.7074480448,0.0,resume_from_csv
0.0,0.1,3.9372548804,0.4385180336,0.0,resume_from_csv
0.0,0.2,3.9374266705,0.3450643512,0.0,resume_from_csv
0.0,0.3,3.9375538158,0.3002669363,0.0,resume_from_csv
0.0,0.4,3.9372880530,0.2786002254,0.0,resume_from_csv
0.0,0.5,3.9381511076,0.2648255103,0.0,resume_from_csv
0.0,0.6,3.9394534417,0.2524308710,2.6,ok
0.0,0.7,3.9397729543,0.2404026365,2.6,ok
0.0,0.8,3.9397724572,0.2314693009,2.5,ok
0.0,0.9,3.9389846269,0.2276222850,2.5,ok
0.0,1.0,3.9370256539,0.2248768422,2.6,ok
0.0,1.1,3.9370947909,0.2220647203,2.5,ok
0.0,1.2,3.9368097910,0.2196026014,2.6,ok
0.0,1.3,3.9397519811,0.2176903225,2.6,ok
0.0,1.4,3.9437238220,0.2156953345,2.6,ok
0.0,1.5,3.9454813412,0.2138702491,2.6,ok
0.0,1.6,3.9443482021,0.2124606548,2.6,ok
0.0,1.7,3.9434735592,0.2114345575,2.6,ok
0.0,1.8,3.9417687129,0.2099105804,2.6,ok
0.0,1.9,3.9396924455,0.2093062683,2.6,ok
0.0,2.0,3.9375607180,0.2079605616,2.5,ok
0.1,0.0,3.9430566109,0.8172704544,0.0,resume_from_csv
0.1,0.1,3.9397374891,0.3846920346,0.0,resume_from_csv
0.1,0.2,3.9381561742,0.3195916135,0.0,resume_from_csv
0.1,0.3,3.9379547707,0.2820639769,0.0,resume_from_csv
0.1,0.4,3.9380325676,0.2682277670,0.0,resume_from_csv
0.1,0.5,3.9384449709,0.2552998264,0.0,resume_from_csv
0.1,0.6,3.9382620570,0.2429852156,2.6,ok
0.1,0.7,3.9376925090,0.2334729175,2.6,ok
0.1,0.8,3.9370844280,0.2276892357,2.6,ok
0.1,0.9,3.9371910397,0.2246181003,2.6,ok
0.1,1.0,3.9370988826,0.2221915013,2.6,ok
0.1,1.1,3.9369426930,0.2196934303,2.6,ok
0.1,1.2,3.9395681354,0.2178925306,2.6,ok
0.1,1.3,3.9428763527,0.2157871414,2.6,ok
0.1,1.4,3.9449038307,0.2138400118,2.6,ok
0.1,1.5,3.9437331512,0.2126909458,2.6,ok
0.1,1.6,3.9427895977,0.2114704669,2.6,ok
0.1,1.7,3.9416162283,0.2099605966,2.6,ok
0.1,1.8,3.9396444574,0.2093618613,2.5,ok
0.1,1.9,3.9376077330,0.2081231645,2.6,ok
0.1,2.0,3.9394558889,0.2071258706,2.5,ok
0.2,0.0,3.9457762683,0.5620277726,0.0,resume_from_csv
0.2,0.1,3.9411971035,0.3380498707,0.0,resume_from_csv
0.2,0.2,3.9394965737,0.2949118522,0.0,resume_from_csv
0.2,0.3,3.9386721449,0.2715739407,0.0,resume_from_csv
0.2,0.4,3.9382566653,0.2587013557,0.0,resume_from_csv
0.2,0.5,3.9379684029,0.2465871797,0.0,resume_from_csv
0.2,0.6,3.9377526781,0.2356150417,2.6,ok
0.2,0.7,3.9377827722,0.2273019230,2.6,ok
0.2,0.8,3.9376697568,0.2249690626,2.5,ok
0.2,0.9,3.9371405254,0.2224441783,2.6,ok
0.2,1.0,3.9373132910,0.2198015570,2.5,ok
0.2,1.1,3.9394195440,0.2180605185,2.5,ok
0.2,1.2,3.9421078249,0.2158189639,2.6,ok
0.2,1.3,3.9437171884,0.2139371083,2.6,ok
0.2,1.4,3.9431737429,0.2128752162,2.5,ok
0.2,1.5,3.9421711620,0.2112177034,2.5,ok
0.2,1.6,3.9414090657,0.2101548953,2.6,ok
0.2,1.7,3.9395966032,0.2093604130,2.5,ok
0.2,1.8,3.9376548627,0.2080769173,2.6,ok
0.2,1.9,3.9370288851,0.2071976513,2.6,ok
0.2,2.0,3.9360611658,0.2061531050,2.5,ok
0.3,0.0,3.9482321722,0.4398232090,0.0,resume_from_csv
0.3,0.1,3.9430042101,0.3148769452,0.0,resume_from_csv
0.3,0.2,3.9406990547,0.2744889998,0.0,resume_from_csv
0.3,0.3,3.9393648642,0.2620602639,0.0,resume_from_csv
0.3,0.4,3.9385338943,0.2492781549,0.0,resume_from_csv
0.3,0.5,3.9384975678,0.2387359074,0.0,resume_from_csv
0.3,0.6,3.9383930431,0.2291931390,2.6,ok
0.3,0.7,3.9379784023,0.2249062601,2.6,ok
0.3,0.8,3.9376514020,0.2223859884,2.6,ok
0.3,0.9,3.9376864099,0.2197826801,2.6,ok
0.3,1.0,3.9393054045,0.2180523766,2.5,ok
0.3,1.1,3.9414269793,0.2158736003,2.6,ok
0.3,1.2,3.9425094874,0.2137943909,2.6,ok
0.3,1.3,3.9426704955,0.2129316717,2.6,ok
0.3,1.4,3.9416180254,0.2111022436,2.6,ok
0.3,1.5,3.9407774207,0.2099891794,2.6,ok
0.3,1.6,3.9395487298,0.2093103981,2.6,ok
0.3,1.7,3.9377932305,0.2079605823,2.5,ok
0.3,1.8,3.9364176982,0.2072343273,2.6,ok
0.3,1.9,3.9361261552,0.2062755261,2.5,ok
0.3,2.0,3.9357555672,0.2053985795,2.6,ok
0.4,0.0,3.9503779722,0.3713399137,0.0,resume_from_csv
0.4,0.1,3.9443842756,0.2939096549,0.0,resume_from_csv
0.4,0.2,3.9419240455,0.2637325467,0.0,resume_from_csv
0.4,0.3,3.9405643851,0.2526407369,0.0,resume_from_csv
