alpha,beta,relative_drift_%,wall_time_s,status
0.1,0.0,FAILED,5.0,run_ok_no_csv
0.1,0.001,FAILED,5.0,run_ok_no_csv
0.1,0.002,FAILED,4.7,run_ok_no_csv
0.1,0.003,FAILED,4.7,run_ok_no_csv
0.1,0.004,FAILED,4.7,run_ok_no_csv
0.1,0.005,FAILED,4.7,run_ok_no_csv
0.1,0.006,FAILED,5.0,run_ok_no_csv
0.1,0.007,FAILED,4.7,run_ok_no_csv
0.1,0.008,FAILED,4.6,run_ok_no_csv
0.1,0.009,FAILED,4.7,run_ok_no_csv
0.1,0.01,FAILED,4.7,run_ok_no_csv
0.1,0.011,FAILED,4.7,run_ok_no_csv
0.1,0.012,FAILED,4.7,run_ok_no_csv
0.1,0.013,FAILED,4.7,run_ok_no_csv
