0,-1.5708,0,0,0,0,0
1.53040365620445e-07,-1.57079901152868,-8.89772835515265e-08,-4.05516614770678e-06,1.8908441597745e-07,1.16091410944555e-05,7.81724289035837e-07
4.59117709405841e-07,-1.57079703460312,-2.66942891863644e-07,-1.21653626993197e-05,5.67266336752746e-07,3.48266248867193e-05,2.34509444778604e-06
9.18225312631534e-07,-1.5707940692575,-5.33919069041921e-07,-2.43303182443838e-05,1.13457204171204e-06,6.96508574095273e-05,4.68995297423133e-06
1.53035312569067e-06,-1.5707901155431,-8.89939263793426e-07,-4.05496257152271e-05,1.89104100309497e-06,0.000116079449224701,7.81606329529825e-06
2.29548776868206e-06,-1.57078517352831,-1.33504813187604e-06,-6.08227424011097e-05,2.83672588940644e-06,0.000174109215571982,1.17231097841542e-05
3.21361253219891e-06,-1.57077924329861,-1.86930153928986e-06,-8.51489899670839e-05,3.97169256995059e-06,0.000243736176567011,1.64106977831557e-05
4.28470737831839e-06,-1.57077232495658,-2.49276656620688e-06,-0.000113527554477568,5.29602012048372e-06,0.000324955557448432,2.18783536324521e-05
5.50874894179203e-06,-1.5707644186219,-3.20552151163507e-06,-0.000145957486424627,6.8098008299829e-06,0.000417761788874154,2.81255247042483e-05
6.88571053143695e-06,-1.57075552443134,-4.00765589881497e-06,-0.000182437700760971,8.51314020852738e-06,0.000522148507266753,3.51515794427304e-05
8.41556213172777e-06,-1.57074564253876,-4.89927048133928e-06,-0.000222966976937657,1.04061569962861e-05,0.00063810855520803,4.29558074096585e-05
1.00982772003447e-05,-1.57073477311759,-5.88049637545072e-06,-0.000267543967702622,1.24889952600174e-05,0.000765634316345778,5.15373378270153e-05
1.19338203750795e-05,-1.57072291635635,-6.95146037632401e-06,-0.000316167183295725,1.47618025075459e-05,0.000904717110093829,6.08952870369521e-05
1.39221530896913e-05,-1.57071007246065,-8.11230081408415e-06,-0.000368834998738971,1.72247397008217e-05,0.00105534746881345,7.10286912748091e-05
1.60632335767028e-05,-1.57069624165327,-9.36316755579992e-06,-0.000425545653892597,1.98779812673262e-05,0.00121751513836114,8.1936506727555e-05
1.835701687043e-05,-1.57068142417407,-1.07042220075948e-05,-0.000486297253515832,2.27217151123858e-05,0.00139120907868226,9.36176095971712e-05
2.08034548102417e-05,-1.57066562028003,-1.2135637116864e-05,-0.000551087767332332,2.57561426323804e-05,0.00157641746445042,0.000106070796169001
2.34024960440515e-05,-1.57064883024526,-1.36575973745842e-05,-0.000619915030100273,2.89814787288388e-05,0.00177312768575272,0.000119294782885079
2.61540860320406e-05,-1.57063105436096,-1.52702988177041e-05,-0.00069277674168713,3.23979518234065e-05,0.00198132634882088,0.000133288206422472
2.90581670506102e-05,-1.57061229293542,-1.69739490316e-05,-0.000769670467149108,3.60058038736741e-05,0.00220099927680831,0.000148049623776635
3.21146781965654e-05,-1.57059254629405,-1.8768767152582e-05,-0.00085059363681526,3.98052903898526e-05,0.00243213151061307,0.000163577512349824
3.53235553915278e-05,-1.57057181477932,-2.06549838704353e-05,-0.000935543546376252,4.37966804522814e-05,0.00267470730974686,0.000179870270044582
3.86847313865777e-05,-1.57055009875083,-2.26328414309783e-05,-0.00102451735697781,4.79802567297532e-05,0.00292871015325004,0.000196926215362319
4.21981357671255e-05,-1.57052739858521,-2.47025936386218e-05,-0.00111751209531884,5.23563154986404e-05,0.00319412274065275,0.000214743587507025
4.58636949580107e-05,-1.57050371467619,-2.68645058589088e-05,-0.00121452465375416,5.69251666628059e-05,0.00347092699298211,0.000233320546494132
4.96813322288291e-05,-1.57047904743458,-2.91188550210166e-05,-0.00131555179040199,6.16871337742811e-05,0.00375910405381563,0.000252655173264561
5.36509676994873e-05,-1.57045339728821,-3.1465929620201e-05,-0.00142059012925601,6.66425540546925e-05,0.00405863429038084,0.000272745469803985
5.77725183459834e-05,-1.57042676468201,-3.39060297201613e-05,-0.00152963616030212,7.17917784174179e-05,0.00436949729470116,0.000293589359267335
6.20458980064141e-05,-1.57039915007791,-3.64394669553036e-05,-0.00164268623963989,7.71351714904523e-05,0.00469167188478814,0.000315184686108583
6.64710173872068e-05,-1.57037055395493,-3.90665645328811e-05,-0.00175973658960859,8.26731116399632e-05,0.00502513610588009,0.000337529216215841
7.10477840695766e-05,-1.57034097680908,-4.17876572349868e-05,-0.00188078329891798,8.8405990994513e-05,0.00536986723172706,0.000360620637051798
7.57761025162072e-05,-1.57031041915341,-4.46030914203749e-05,-0.00200582232278365,9.43342154699281e-05,0.00572584176592242,0.000384456557799549
8.06558740781544e-05,-1.570278881518,-4.75132250260848e-05,-0.00213484948306708,0.000100458204794789,0.00609303544328093,0.000409034509513835
8.56869970019733e-05,-1.57024636444992,-5.0518427568844e-05,-0.00226786046842037,0.000106778392536521,0.00647142323126344,0.000434351945277741
9.08693664370655e-05,-1.57021286851324,-5.36190801462203e-05,-0.00240485083443551,0.00011329522612806,0.00686097933144823,0.000460406240364887
9.62028744432479e-05,-1.57017839428902,-5.6815575437499e-05,-0.00254581600379847,0.000120009166895064,0.00726167718104916,0.000487194692407155
0.000101687409998541,-1.57014294237532,-6.01083177042547e-05,-0.00269075126644777,0.000126920690083653,0.00767348945448052,0.000514714521567987
0.000107322859007177,-1.57010651338716,-6.34977227905895e-05,-0.0028396517797378,0.000134030284888643,0.00809638806496879,0.000542962870721301
0.000113109104307823,-1.57006910795652,-6.69842181230089e-05,-0.00299251256860675,0.00014133845448225,0.00853034416621133,0.000571936805636059
0.000119046025682026,-1.57003072673233,-7.0568242709904e-05,-0.00314932852574919,0.000148845716043238,0.00897532815408202,0.000601633315166532
0.000125133499862866,-1.56999137038047,-7.42502471406088e-05,-0.00331009441179326,0.000156552600786473,0.00943130966838398,0.00063204931144832
0.000131371400543834,-1.56995103958376,-7.80306935840028e-05,-0.00347480485548254,0.000164459653992873,0.00989825759464938,0.000663181630100135
0.000137759598387914,-1.56990973504194,-8.19100557866244e-05,-0.0036434543538625,0.000172567435039694,0.0103761400659865,0.000695027030431434
0.000144297961036883,-1.56986745747164,-8.5888819070263e-05,-0.00381603727247167,0.000180876517431155,0.0108649244649739,0.000727582195655918
0.000150986353120821,-1.56982420760642,-8.99674803289969e-05,-0.00399254784553734,0.000189387488829345,0.0113645774256021,0.000760843733110946
0.000157824636267829,-1.56977998619671,-9.41465480256414e-05,-0.00417298017617592,0.000198100951085388,0.0118750648352624,0.000794808174482928
0.000164812669113957,-1.56973479400984,-9.84265421875733e-05,-0.00435732823659798,0.000207017520270837,0.0123963518367834,0.000829471976038714
0.000171950307313342,-1.56968863182998,-0.000102807994401896,-0.00454558586831783,0.000216137826709263,0.0129284028305149,0.000864831518863058
0.000179237403548544,-1.56964150045818,-0.000107291447809909,-0.00473774678236775,0.000225462515007994,0.0134711814764593,0.000900883109102178
0.000186673807541097,-1.56959340071231,-0.000111877457100845,-0.00493380455951686,0.000234992244089985,0.0140246506964508,0.00093762297821347
0.000194259366062251,-1.5695443334271,-0.000116566588504842,-0.00513375265049455,0.000244727687225773,0.0145887726763822,0.000975047283221427
0.000201993922943925,-1.56949429945407,-0.000121359419785101,-0.00533758437621856,0.000254669532065487,0.0151635088684798,0.00101315210697981
0.000209877319089855,-1.56944329966156,-0.000126256540229208,-0.00554529292802766,0.000264818480670865,0.0157488199936251,0.0010519334584401
0.00021790939248694,-1.56939133493471,-0.000131258550639567,-0.00575687136791888,0.000275175249547264,0.0163446660437262,0.00109138727292632
0.000226089978216786,-1.56933840617542,-0.000136366063322914,-0.00597231262878943,0.000285740569675597,0.0169510062841351,0.00113150941241625
