0.000000000000000000e+00,2.000070197128021587e-01,1.999874594054822374e-01,2.000035112674259929e-01,1.999996103210225640e-01,2.000010245985418267e-01,1.999977668919100671e-01,2.000030069030989399e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.000210583398347730e-01,1.999623802697629293e-01,2.000105320896619909e-01,1.999988316220003004e-01,2.000030734858863068e-01,1.999933008997950845e-01,2.000090205834863522e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.000421146515198312e-01,1.999247660697644480e-01,2.000210592074785632e-01,1.999976652007197375e-01,2.000061460941013058e-01,1.999866023537302251e-01,2.000180409411332350e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.000701869870021576e-01,1.998746217063849251e-01,2.000350878151280765e-01,1.999961129935984294e-01,2.000102415971267977e-01,1.999776716898635787e-01,2.000300679017011918e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.001052732537111079e-01,1.998119535051452733e-01,2.000526115603982746e-01,1.999941775753865114e-01,2.000153589108566443e-01,1.999665094505177487e-01,2.000451014164053576e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.001473709267555523e-01,1.997367692171121423e-01,2.000736225446250183e-01,1.999918621587921386e-01,2.000214966932374605e-01,1.999531162843301568e-01,2.000631414618311288e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.001964770481526046e-01,1.996490780200951276e-01,2.000981113226664165e-01,1.999891705940298192e-01,2.000286533443849102e-01,1.999374929464319273e-01,2.000841880397047634e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.002525882258910095e-01,1.995488905201161789e-01,2.001260669028401273e-01,1.999861073682905332e-01,2.000368270067177379e-01,1.999196402986651855e-01,2.001082411766177682e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.003157006328299683e-01,1.994362187531482922e-01,2.001574767468267957e-01,1.999826776051324417e-01,2.000460155651103966e-01,1.998995593098381873e-01,2.001353009237054337e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.003858100054347335e-01,1.993110761871208225e-01,2.001923267695424058e-01,1.999788870637903282e-01,2.000562166470647163e-01,1.998772510560183902e-01,2.001653673562794611e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.004629116423501112e-01,1.991734777241876420e-01,2.002306013389833772e-01,1.999747421384024115e-01,2.000674276229013893e-01,1.998527167208627164e-01,2.001984405734147654e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.005470004028131470e-01,1.990234397032545344e-01,2.002722832760479854e-01,1.999702498571520604e-01,2.000796456059723560e-01,1.998259575959847600e-01,2.002345206974907310e-01,0.000000000000000000e+00
0.000000000000000000e+00,2.006380707049068568e-01,1.988609799027614422e-01,2.003173538543387699e-01,1.999654178813225769e-01,2.000928674528946460e-01,1.997969750813584078e-01,2.002736078736868930e-01,0.000000000000000000e+00
